ProductID,ProductName,Category,UnitCost,UnitPrice
2001,White Bread,Bakery,10,18.99
2002,Full Cream Milk,Dairy,15,24.5
2003,Rice 10kg,Groceries,120,179.99
2004,Coca-Cola 2L,Beverages,17,26.99
2005,Laundry Powder,Cleaning,100,145.0
2006,Chocolate Bar,Snacks,9,17.99
2007,Cooking Oil 2L,Groceries,80,119.99
2008,Instant Coffee,Beverages,90,139.99
2009,Breakfast Cereal,Groceries,55,89.99
2010,Orange Juice,Beverages,25,44.99
2011,Potato Chips,Snacks,12,24.99
2012,Dishwashing Liquid,Cleaning,45,69.99
2013,Shampoo,Personal Care,65,99.99
2014,Toilet Paper,Household,70,109.99
2015,Cheese 500g,Dairy,55,84.99
2016,Chicken 2kg,Fresh Produce,85,129.99
2017,Beef Mince 1kg,Fresh Produce,100,159.99
2018,LED Television,Electronics,3800,5499.99
2019,Bluetooth Speaker,Electronics,500,799.99
2020,Microwave Oven,Electronics,1200,1799.99
